97,,8385,-4590,-371,-1735,4333,-1937,-2237,13
98,,8412,-4529,-501,-1735,4343,-1889,-2284,12
99,,8436,-4475,-646,-1734,4343,-1846,-2322,12
100,,8469,-4434,-775,-1732,4331,-1796,-2353,14
101,,8499,-4381,-942,-1731,4312,-1740,-2390,15
102,,8551,-4289,-1080,-1729,4307,-1691,-2437,16
103,,8585,-4239,-1226,-1736,4310,-1648,-2491,12
104,,8620,-4168,-1381,-1733,4314,-1604,-2533,13
105,,8657,-4106,-1528,-1736,4303,-1552,-2576,11
106,,8718,-4027,-1683,-1732,4288,-1498,-2606,15
107,,8730,-3946,-1858,-1730,4276,-1449,-2647,14
108,,8769,-3848,-2006,-1728,4274,-1398,-2689,15
109,,8808,-3793,-2185,-1735,4266,-1356,-2737,12
110,,8854,-3691,-2365,-1735,4256,-1308,-2782,12
111,,8918,-3604,-2514,-1733,4248,-1254,-2819,15
112,,8962,-3513,-2683,-1733,4237,-1202,-2860,13
113,,8978,-3431,-2828,-1728,4234,-1146,-2893,18
114,,8996,-3317,-2987,-1729,4221,-1105,-2943,15
115,,9024,-3207,-3168,-1735,4213,-1056,-2990,13
116,,9044,-3121,-3338,-1733,4201,-1006,-3026,14
117,,9108,-3025,-3478,-1732,4187,-954,-3061,14
118,,9124,-2930,-3635,-1730,4171,-902,-3096,15
119,,9152,-2827,-3769,-1730,4159,-850,-3130,16
120,,9174,-2722,-3944,-1730,4150,-796,-3173,16
121,,9199,-2618,-4089,-1733,4131,-750,-3216,13
122,,9202,-2536,-4236,-1734,4118,-698,-3256,12
123,,9225,-2426,-4359,-1732,4102,-648,-3288,15
124,,9213,-2317,-4538,-1730,4079,-601,-3317,16
125,,9228,-2181,-4681,-1729,4064,-545,-3344,16
126,,9247,-2067,-4856,-1730,4048,-491,-3378,17
127,,9263,-1976,-4994,-1734,4028,-447,-3420,13
128,,9252,-1840,-5162,-1736,4007,-398,-3466,10
129,,9265,-1713,-5291,-1729,3988,-340,-3490,15
130,,9264,-1609,-5435,-1731,3964,-290,-3527,15
131,,9274,-1486,-5571,-1729,3937,-230,-3547,15
132,,9308,-1406,-5700,-1733,3901,-169,-3574,13
133,,9307,-1313,-5884,-1732,3868,-122,-3602,12
134,,9290,-1205,-6016,-1733,3864,-82,-3634,11
135,,9299,-1082,-6152,-1729,3853,-38,-3667,14
136,,9313,-966,-6241,-1728,3819,29,-3699,15
137,,9323,-881,-6372,-1728,3777,99,-3743,16
138,,9339,-787,-6513,-1731,3749,148,-3772,13
139,,9332,-704,-6623,-1733,3741,188,-3780,12
140,,9336,-609,-6723,-1733,3725,225,-3797,12
141,,9345,-538,-6846,-1729,3685,283,-3829,13
142,,9369,-448,-6961,-1726,3646,353,-3870,16
143,,9379,-364,-7046,-1728,3612,415,-3898,17
144,,9359,-275,-7176,-1732,3599,453,-3919,14
145,,9380,-214,-7251,-1731,3582,488,-3930,14
146,,9354,-134,-7371,-1733,3556,542,-3949,11
147,,9354,-63,-7450,-1726,3509,603,-3981,15
148,,9357,21,-7537,-1728,3465,661,-4006,14
149,,9361,94,-7604,-1728,3442,710,-4017,15
150,,9330,208,-7703,-1732,3420,742,-4033,13
151,,9301,286,-7775,-1732,3388,788,-4045,12
152,,9288,352,-7857,-1732,3355,847,-4063,15
